on	2425302
ja	2328424
et	1297038
ei	1064741
kui	818683
ka	712415
ning	525988
ta	501229
see	482339
oli	456855
aga	402888
oma	392297
Eesti	387619
mis	379152
siis	305210
nii	293740
või	278904
pole	272612
kes	266048
seda	256702
kuid	239510
aasta	237894
selle	210488
ma	208120
juba	193060
krooni	192397
tema	191541
veel	184640
sõnul	181374
välja	174939
üle	170241
ole	169249
vaid	168831
kas	167159
aastal	166774
ütles	165646
väga	157693
kõik	155675
võib	153035
pärast	152681
sest	152407
tuleb	149709
mida	148324
kus	147064
eest	140005
nagu	139741
edasi	135859
mitte	131870
üks	130931
saab	129293
palju	127123
nad	126498
meie	126275
oleks	123339
nende	120788
vastu	116612
ära	115691
olnud	114353
mille	112293
me	107208
praegu	106956
enam	105277
tagasi	104224
Tallinna	103835
näiteks	103395
rohkem	103273
ajal	102101
nüüd	102078
küll	101752
kõige	100044
midagi	98333
kokku	97230
Euroopa	96991
kaks	96261
need	96041
teha	94614
peab	93724
raha	93617
ehk	92378
olla	92307
kuidas	91850
kohta	89399
Loe	89338
olid	86856
sai	86091
ise	85724
protsenti	85039
sellest	84799
Eestis	84277
peale	82949
enne	82490
miljonit	82172
täna	82123
neid	82013
aastat	81633
saa	81568
ega	80151
Tartu	80016
peaks	78197
kogu	77259
ette	77249
kuna	77093
ainult	76893
saanud	75778
ju	75129
kuni	74443
läbi	74153
just	73705
siiski	72942
hea	72105
samuti	71836
alla	71767
koos	70212
kl	70178
seal	69955
ikka	69432
saada	68958
ühe	68445
olen	68005
osa	65671
isegi	62926
eile	62832
korda	62826
USA	61764
minu	61563
meil	60729
iga	60447
lisas	59938
jooksul	59329
olema	58415
kindlasti	58227
ee	57982
inimesed	57537
suur	57090
riigi	56668
sel	56377
võimalik	56180
miks	56029
sama	55719
siin	55685
poole	54960
jaoks	54391
rääkis	54371
uue	54327
end	54166
aega	54162
elu	53573
Venemaa	53456
kolm	52942
teatas	52847
järgi	52741
ligi	52393
võiks	52101
mees	52032
jääb	51750
tuli	50632
juurde	50612
vaja	50043
lihtsalt	49142
hästi	49141
kelle	48982
enda	48922
vahel	48891
selles	48579
eriti	48283
poolt	48253
maailma	47977
uus	47799
varem	47574
puhul	47574
keegi	47421
kaasa	46418
teda	46338
mul	46329
oleme	46318
läheb	46177
kahe	45809
võtta	45717
tal	45549
miljoni	45483
tõttu	45170
selleks	44679
talle	44548
teine	44442
sa	44400
all	44367
asi	44266
alles	44252
umbes	43912
ütleb	43888
polnud	43817
tegelikult	43711
ees	43419
liiga	43288
märkis	43212
jäi	43110
pea	42713
teise	42580
maha	42375
vähemalt	42265
ent	41840
Samas	41821
juht	41780
mulle	41674
Õhtuleht	41257
üles	40720
aeg	40104
alati	40032
sellega	39804
päeva	39367
öelda	39343
endale	39107
võrreldes	39083
Tallinnas	38694
kohe	38459
hiljem	38190
tänavu	37950
viis	37748
tööd	37743
hind	37720
juhatuse	37577
teeb	37397
tee	37261
sellele	37139
ettevõtte	37134
juures	37094
tehtud	37004
Soome	36967
mina	36744
ilmselt	36701
kunagi	36692
sisse	36607
esimese	36575
teada	36338
alates	36276
tegemist	36148
OÜ	36146
teinud	35826
juhul	35810
töö	35736
valmis	35716
inimest	35378
selline	35226
Autor	35006
minna	34988
esimene	34969
kinni	34916
ilma	34877
vähem	34859
jäänud	34820
firma	34736
neist	34729
raske	34641
riik	34615
lõpuks	34471
AS	34222
läinud	34174
saavad	34166
aktsia	34075
tegi	34064
inimene	34039
president	33953
kuu	33951
seotud	33844
üldse	33735
kirjutas	33706
hoopis	33641
neil	33625
Samal	33604
linna	33522
Lisaks	33520
kell	33321
suure	33222
pool	33210
läks	33115
päris	33098
võrra	33000
annab	32978
pigem	32669
näha	32644
auto	32476
neile	32420
hinnangul	32132
Vahepealkiri	31822
ümber	31719
muidugi	31674
seni	31542
inimesi	31539
korral	31400
hakkab	31272
viimase	31230
maja	31213
kolme	31136
Liidu	31029
teemal	30984
Vene	30876
eelmise	30759
tähendab	30667
Rootsi	30644
juhataja	30619
taha	30560
tasuta	30427
peavad	30284
mõni	30277
kinnitas	30244
eesti	30225
politsei	30205
seetõttu	30190
Kuigi	30064
eelmisel	29971
kuigi	29801
inimeste	29652
teiste	29573
Läti	29555
A	29349
mind	29305
mullu	29228
taas	29146
miljardit	28951
samas	28807
mitu	28722
riigikogu	28618
kohaselt	28614
te	28606
anda	28561
igal	28485
neli	28457
tulnud	28407
asemel	28342
lisaks	28292
selgitas	28221
suurem	28135
sinna	27964
võivad	27945
aja	27921
tuleks	27823
lausus	27661
aru	27551
mu	27523
valitsus	27203
hetkel	27151
sõnas	27131
taga	27028
üsna	27024
kuus	26990
paljud	26973
panna	26942
liige	26913
millest	26873
räägib	26497
esimees	26481
mõne	26447
kätte	26182
kord	26177
täiesti	26072
andis	25984
olevat	25910
tea	25794
kirjutab	25710
naine	25603
ema	25561
suhtes	25464
uut	25388
osas	25236
olemas	25172
valitsuse	25051
ülikooli	24877
kuhu	24794
võttis	24793
alguses	24758
saaks	24745
ennast	24707
kaudu	24541
dollarit	24492
õhtul	24491
aripaev	24383
veidi	24342
head	24226
järel	24215
teie	24130
leida	24083
oluline	24041
ettevõte	23978
kasutada	23898
inimese	23698
päev	23694
mõned	23598
asja	23575
võimalus	23469
ikkagi	23441
millega	23432
suurt	23320
ongi	23275
nädalal	23251
antud	23106
lapsed	22933
arvates	22889
küsimus	22853
meile	22833
mil	22734
seas	22618
tähelepanu	22529
paar	22475
pidi	22435
teised	22422
peaaegu	22408
jõudnud	22300
tõesti	22297
